
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.044
  alpha =    1.797    CLtot =    0.220
  beta  =    0.000

  Sref  =     0.81320
  Bref  =     2.38588
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.109187         0.217172E-01
    0.0350  0.103752         0.198540E-01
    0.1050  0.929424E-01     0.164118E-01
    0.1758  0.821730E-01     0.133108E-01
    0.2475  0.715540E-01     0.105565E-01
    0.3192  0.613189E-01     0.817589E-02
    0.3908  0.515656E-01     0.615338E-02
    0.4625  0.423854E-01     0.447009E-02
    0.5342  0.338595E-01     0.310404E-02
    0.6058  0.260610E-01     0.203046E-02
    0.6775  0.190574E-01     0.122209E-02
    0.7492  0.129147E-01     0.649259E-03
    0.8208  0.770546E-02     0.279814E-03
    0.8925  0.352801E-02     0.785474E-04
    0.9642  0.570691E-03     0.511244E-05
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.109187        -0.217172E-01
   -0.0350  0.103752        -0.198540E-01
   -0.1050  0.929424E-01    -0.164118E-01
   -0.1758  0.821730E-01    -0.133108E-01
   -0.2475  0.715540E-01    -0.105565E-01
   -0.3192  0.613189E-01    -0.817589E-02
   -0.3908  0.515656E-01    -0.615338E-02
   -0.4625  0.423854E-01    -0.447009E-02
   -0.5342  0.338595E-01    -0.310404E-02
   -0.6058  0.260610E-01    -0.203046E-02
   -0.6775  0.190574E-01    -0.122209E-02
   -0.7492  0.129147E-01    -0.649259E-03
   -0.8208  0.770546E-02    -0.279814E-03
   -0.8925  0.352801E-02    -0.785475E-04
   -0.9642  0.570691E-03    -0.511244E-05
   -1.0000   0.00000          0.00000    
