 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     MainWing                                
     # Chordwise =  8   # Spanwise = 14     First strip =  1
     Surface area =    0.406602       Ave. chord =    0.340840
     CLsurf  =   0.19694     Clsurf  =  -0.04237
     CYsurf  =   0.00039     Cmsurf  =  -0.23671
     CDsurf  =   0.00337     Cnsurf  =  -0.00025
     CDisurf =   0.00337     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.39388     CDsurf  =   0.00674
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.0418   0.4342   0.0363   0.1722   0.0403   0.3966   0.3966   0.0114   0.0000  -0.1169  -0.2161    0.545
     2   0.1253   0.4342   0.0363   0.1702   0.0371   0.3920   0.3919   0.0116   0.0000  -0.1172  -0.2152    0.549
     3   0.2098   0.4251   0.0363   0.1673   0.0344   0.4605   0.3934   0.0108   0.0000  -0.1159  -0.1943    0.545
     4   0.2953   0.4071   0.0348   0.1644   0.0364   0.4727   0.4039   0.0094   0.0000  -0.1144  -0.1953    0.533
     5   0.3807   0.3890   0.0333   0.1601   0.0357   0.4816   0.4115   0.0082   0.0000  -0.1137  -0.1964    0.526
     6   0.4662   0.3709   0.0317   0.1544   0.0342   0.4872   0.4163   0.0070   0.0000  -0.1133  -0.1971    0.522
     7   0.5517   0.3528   0.0302   0.1476   0.0326   0.4896   0.4184   0.0060   0.0000  -0.1130  -0.1973    0.520
     8   0.6372   0.3347   0.0286   0.1398   0.0310   0.4888   0.4176   0.0050   0.0000  -0.1128  -0.1969    0.520
     9   0.7227   0.3166   0.0271   0.1310   0.0297   0.4843   0.4138   0.0041   0.0000  -0.1125  -0.1958    0.522
    10   0.8082   0.2985   0.0255   0.1213   0.0289   0.4754   0.4062   0.0032   0.0000  -0.1121  -0.1937    0.526
    11   0.8937   0.2804   0.0240   0.1104   0.0290   0.4608   0.3937   0.0025   0.0000  -0.1113  -0.1902    0.533
    12   0.9792   0.2623   0.0224   0.0981   0.0310   0.4375   0.3738   0.0020   0.0000  -0.1099  -0.1843    0.544
    13   1.0647   0.2442   0.0209   0.0831   0.0373   0.3983   0.3403   0.0018   0.0000  -0.1064  -0.1736    0.563
    14   1.1502   0.2261   0.0193   0.0615   0.0572   0.3184   0.2721   0.0019   0.0000  -0.0944  -0.1473    0.597

  Surface # 2     MainWing (YDUP)                         
     # Chordwise =  8   # Spanwise = 14     First strip = 15
     Surface area =    0.406602       Ave. chord =    0.340840
     CLsurf  =   0.19694     Clsurf  =   0.04237
     CYsurf  =  -0.00039     Cmsurf  =  -0.23671
     CDsurf  =   0.00337     Cnsurf  =   0.00025
     CDisurf =   0.00337     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.39388     CDsurf  =   0.00674
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    15  -0.0418   0.4342   0.0363   0.1722   0.0403   0.3966   0.3966   0.0114   0.0000  -0.1169   0.2161    0.545
    16  -0.1253   0.4342   0.0363   0.1702   0.0371   0.3920   0.3919   0.0116   0.0000  -0.1172   0.2152    0.549
    17  -0.2098   0.4251   0.0363   0.1673   0.0344   0.4605   0.3934   0.0108   0.0000  -0.1159   0.1943    0.545
    18  -0.2953   0.4071   0.0348   0.1644   0.0364   0.4727   0.4039   0.0094   0.0000  -0.1144   0.1953    0.533
    19  -0.3807   0.3890   0.0333   0.1601   0.0357   0.4816   0.4115   0.0082   0.0000  -0.1137   0.1964    0.526
    20  -0.4662   0.3709   0.0317   0.1544   0.0342   0.4872   0.4163   0.0070   0.0000  -0.1133   0.1971    0.522
    21  -0.5517   0.3528   0.0302   0.1476   0.0326   0.4896   0.4184   0.0060   0.0000  -0.1130   0.1973    0.520
    22  -0.6372   0.3347   0.0286   0.1398   0.0310   0.4888   0.4176   0.0050   0.0000  -0.1128   0.1969    0.520
    23  -0.7227   0.3166   0.0271   0.1310   0.0297   0.4843   0.4138   0.0041   0.0000  -0.1125   0.1958    0.522
    24  -0.8082   0.2985   0.0255   0.1213   0.0289   0.4754   0.4062   0.0032   0.0000  -0.1121   0.1937    0.526
    25  -0.8937   0.2804   0.0240   0.1104   0.0290   0.4608   0.3937   0.0025   0.0000  -0.1113   0.1902    0.533
    26  -0.9792   0.2623   0.0224   0.0981   0.0310   0.4375   0.3738   0.0020   0.0000  -0.1099   0.1843    0.544
    27  -1.0647   0.2442   0.0209   0.0831   0.0373   0.3983   0.3403   0.0018   0.0000  -0.1064   0.1736    0.563
    28  -1.1502   0.2261   0.0193   0.0615   0.0572   0.3184   0.2721   0.0019   0.0000  -0.0944   0.1473    0.597
 ---------------------------------------------------------------
